nodes,time
10,1.319e-05
20,5.899e-05
30,0.0001526
40,0.00027825
50,0.00044525
60,0.00072283
70,0.00106349
80,0.00150734
90,0.00203412
100,0.00284982
110,0.00362982
120,0.00446935
130,0.0053665
140,0.00665884
150,0.00861915
160,0.0102834
170,0.0122357
180,0.0147788
190,0.0172335
200,0.0194415
210,0.0227245
220,0.0276019
230,0.0338661
240,0.0361187
250,0.0391594
260,0.0439929
270,0.0495364
280,0.0597414
290,0.0639036
300,0.0707616
310,0.0791667
320,0.0871767
330,0.0940014
340,0.101714
350,0.111943
360,0.119273
370,0.127466
380,0.137896
390,0.147236
400,0.146067
410,0.155078
420,0.166555
430,0.174939
440,0.19307
450,0.193961
460,0.20612
470,0.214628
480,0.228118
490,0.235875
500,0.246356
510,0.27409
520,0.274994
530,0.295405
540,0.289543
550,0.299397
560,0.32292
570,0.343758
580,0.352309
590,0.372005
600,0.377131
610,0.395495
620,0.402027
630,0.409518
640,0.427063
650,0.434603
660,0.45099
670,0.429397
680,0.456016
690,0.471946
700,0.480117
710,0.492864
720,0.509876
730,0.552776
740,0.566881
750,0.568392
760,0.589813
770,0.5981
780,0.764257
790,0.634947
800,0.668729
810,0.666069
820,0.70807
830,0.741767
840,0.730038
850,0.769311
860,0.775958
870,0.802871
880,0.77504
890,0.837323
900,0.790398
910,0.80945
920,0.83935
930,0.860738
940,0.89578
950,0.881457
960,0.890622
970,0.897475
980,0.958244
990,0.990275
